#T_e[K]	nu_ee_Fourment[1/s]	nu_ee_Kirkwood[1/s]	nu_ei[1/s]	nu_c[1/s]	nu_tot_Fourment[1/s]	nu_tot_Kirkwood[1/s]
3.746974697469747e+02	0.000000000000000e+00	6.757710686344485e+11	4.830917874396136e+14	1.730269617933862e+16	4.830917874396136e+14	4.837675585082480e+14
3.756675667566757e+02	0.000000000000000e+00	6.792747598918856e+11	4.830917874396136e+14	1.730274748699560e+16	4.830917874396136e+14	4.837710621995054e+14
3.766376637663766e+02	0.000000000000000e+00	6.827875105277490e+11	4.830917874396136e+14	1.730279879450044e+16	4.830917874396136e+14	4.837745749501413e+14
3.776077607760776e+02	0.000000000000000e+00	6.863093205420387e+11	4.830917874396136e+14	1.730285010185313e+16	4.830917874396136e+14	4.837780967601556e+14
3.785778577857786e+02	0.000000000000000e+00	6.898401899347546e+11	4.830917874396136e+14	1.730290140905369e+16	4.830917874396136e+14	4.837816276295483e+14
3.795479547954795e+02	0.000000000000000e+00	6.933801187058967e+11	4.830917874396136e+14	1.730295271610212e+16	4.830917874396136e+14	4.837851675583194e+14
3.805180518051805e+02	0.000000000000000e+00	6.969291068554652e+11	4.830917874396136e+14	1.730300402299840e+16	4.830917874396136e+14	4.837887165464690e+14
3.814881488148815e+02	0.000000000000000e+00	7.004871543834598e+11	4.830917874396136e+14	1.730305532974255e+16	4.830917874396136e+14	4.837922745939970e+14
3.824582458245825e+02	0.000000000000000e+00	7.040542612898809e+11	4.830917874396136e+14	1.730310663633457e+16	4.830917874396136e+14	4.837958417009034e+14
3.834283428342834e+02	0.000000000000000e+00	7.076304275747279e+11	4.830917874396136e+14	1.730315794277445e+16	4.830917874396136e+14	4.837994178671883e+14
3.843984398439844e+02	0.000000000000000e+00	7.112156532380015e+11	4.830917874396136e+14	1.730320924906220e+16	4.830917874396136e+14	4.838030030928516e+14
3.853685368536854e+02	0.000000000000000e+00	7.148099382797010e+11	4.830917874396136e+14	1.730326055519783e+16	4.830917874396136e+14	4.838065973778932e+14
3.863386338633863e+02	0.000000000000000e+00	7.184132826998270e+11	4.830917874396136e+14	1.730331186118133e+16	4.830917874396136e+14	4.838102007223134e+14
3.873087308730873e+02	0.000000000000000e+00	7.220256864983792e+11	4.830917874396136e+14	1.730336316701269e+16	4.830917874396136e+14	4.838138131261119e+14
3.882788278827883e+02	0.000000000000000e+00	7.256471496753574e+11	4.830917874396136e+14	1.730341447269194e+16	4.830917874396136e+14	4.838174345892889e+14
3.892489248924892e+02	0.000000000000000e+00	7.292776722307621e+11	4.830917874396136e+14	1.730346577821906e+16	4.830917874396136e+14	4.838210651118443e+14
3.902190219021902e+02	0.000000000000000e+00	7.329172541645930e+11	4.830917874396136e+14	1.730351708359406e+16	4.830917874396136e+14	4.838247046937781e+14
3.911891189118912e+02	0.000000000000000e+00	7.365658954768501e+11	4.830917874396136e+14	1.730356838881693e+16	4.830917874396136e+14	4.838283533350904e+14
3.921592159215921e+02	0.000000000000000e+00	7.402235961675333e+11	4.830917874396136e+14	1.730361969388769e+16	4.830917874396136e+14	4.838320110357811e+14
3.931293129312932e+02	0.000000000000000e+00	7.438903562366432e+11	4.830917874396136e+14	1.730367099880633e+16	4.830917874396136e+14	4.838356777958502e+14
3.940994099409941e+02	0.000000000000000e+00	7.475661756841791e+11	4.830917874396136e+14	1.730372230357285e+16	4.830917874396136e+14	4.838393536152978e+14
3.950695069506951e+02	0.000000000000000e+00	7.512510545101411e+11	4.830917874396136e+14	1.730377360818725e+16	4.830917874396136e+14	4.838430384941237e+14
3.960396039603961e+02	0.000000000000000e+00	7.549449927145294e+11	4.830917874396136e+14	1.730382491264954e+16	4.830917874396136e+14	4.838467324323281e+14
3.970097009700970e+02	0.000000000000000e+00	7.586479902973441e+11	4.830917874396136e+14	1.730387621695972e+16	4.830917874396136e+14	4.838504354299109e+14
3.979797979797980e+02	0.000000000000000e+00	7.623600472585848e+11	4.830917874396136e+14	1.730392752111778e+16	4.830917874396136e+14	4.838541474868721e+14
3.989498949894989e+02	0.000000000000000e+00	7.660811635982520e+11	4.830917874396136e+14	1.730397882512374e+16	4.830917874396136e+14	4.838578686032118e+14
3.999199919991999e+02	0.000000000000000e+00	7.698113393163453e+11	4.830917874396136e+14	1.730403012897758e+16	4.830917874396136e+14	4.838615987789299e+14
4.008900890089009e+02	0.000000000000000e+00	7.735505744128649e+11	4.830917874396136e+14	1.730408143267932e+16	4.830917874396136e+14	4.838653380140264e+14
4.018601860186019e+02	0.000000000000000e+00	7.772988688878109e+11	4.830917874396136e+14	1.730413273622895e+16	4.830917874396136e+14	4.838690863085014e+14
4.028302830283028e+02	0.000000000000000e+00	7.810562227411827e+11	4.830917874396136e+14	1.730418403962648e+16	4.830917874396136e+14	4.838728436623548e+14
4.038003800380038e+02	0.000000000000000e+00	7.848226359729813e+11	4.830917874396136e+14	1.730423534287190e+16	4.830917874396136e+14	4.838766100755866e+14
4.047704770477048e+02	0.000000000000000e+00	7.885981085832058e+11	4.830917874396136e+14	1.730428664596522e+16	4.830917874396136e+14	4.838803855481968e+14
4.057405740574058e+02	0.000000000000000e+00	7.923826405718566e+11	4.830917874396136e+14	1.730433794890644e+16	4.830917874396136e+14	4.838841700801854e+14
4.067106710671067e+02	0.000000000000000e+00	7.961762319389337e+11	4.830917874396136e+14	1.730438925169556e+16	4.830917874396136e+14	4.838879636715525e+14
4.076807680768077e+02	0.000000000000000e+00	7.999788826844369e+11	4.830917874396136e+14	1.730444055433258e+16	4.830917874396136e+14	4.838917663222980e+14
4.086508650865086e+02	0.000000000000000e+00	8.037905928083665e+11	4.830917874396136e+14	1.730449185681750e+16	4.830917874396136e+14	4.838955780324219e+14
4.096209620962096e+02	0.000000000000000e+00	8.076113623107223e+11	4.830917874396136e+14	1.730454315915034e+16	4.830917874396136e+14	4.838993988019243e+14
4.105910591059106e+02	0.000000000000000e+00	8.114411911915043e+11	4.830917874396136e+14	1.730459446133107e+16	4.830917874396136e+14	4.839032286308051e+14
