#  aims_uuid : 9E77B350-B48A-4CBA-A44E-A8089FE5A8A9                                
#  angular momentum projected density of states for species Cu as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.705409 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -33.30446718        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.29446593        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.28446468        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.27446343        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.26446218        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.25446093        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.24445968        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.23445842        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.22445717        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.21445592        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.20445467        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.19445342        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.18445217        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.17445092        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.16444967        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.15444842        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.14444717        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.13444592        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.12444467        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.11444342        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.10444217        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.09444092        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.08443967        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -33.07443842        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
