#  aims_uuid : F6E78B0D-804B-4AD0-A977-1568297477EF                                
#  angular momentum projected density of states for species Cu as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.705409 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
      -43.17447893        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.16447793        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.15447693        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.14447593        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.13447493        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.12447393        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.11447293        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.10447193        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.09447093        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.08446993        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.07446893        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.06446793        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.05446693        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.04446593        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.03446493        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.02446393        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.01446293        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -43.00446193        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.99446093        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.98445993        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.97445893        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.96445793        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.95445693        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.94445593        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.93445493        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.92445393        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.91445293        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.90445193        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.89445093        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.88444993        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.87444893        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.86444793        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.85444693        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.84444593        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.83444493        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.82444393        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.81444293        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.80444193        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -42.79444093        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
